instanceID,wallTime,std_wallTime
i-0062d028d4b1b0c17,8.01159864001804,0.0037823564392769514
i-0069a2fb2881e526e,9.048396852281359,0.010480585470801874
i-0096e0731defa5bcf,9.048580937915379,0.0074091622731950165
i-0098bacd16b57b4dc,7.783735248777601,0.0077283052336481655
i-00a374920f339188c,7.780997249815199,0.0036384334756115817
i-00b268a4ae508cf2f,8.010991732279459,0.00509019241101612
i-00c650a5bff4bf46c,9.04601330227322,0.007724365164926549
i-0127ff963ce39608f,9.045970492892796,0.00544850564479682
i-01630b674435938c1,7.783168474833171,0.005332961132216656
i-018b98b01134abbc5,9.048704438739353,0.0042607653524676945
i-01e6e4abeaa36080f,9.053129222657946,0.004483568734346704
i-02290982499d0a8b6,8.01304817199707,0.0045449051838494315
i-0260e33164c158580,8.014200369517008,0.0061287667561649795
i-0314d213ca75d492b,9.055914931827122,0.009930022416785714
i-031b2f76071a565fc,9.047688431209988,0.005572090673091098
i-0330f8e04fb45f4ac,8.017652935451931,0.00605926063411798
i-03431dab34bcb014e,7.784815602832371,0.0051615676361105416
i-0431f5b0ba4f686c8,8.01798685391744,0.006897373296700804
i-047575da5698f4497,9.049699756834242,0.008339148521795448
i-04a3348d90ef3a6ac,8.013425509134928,0.006698965140642469
i-04b9c2f75a375d7e5,7.789772590001424,0.004720041018177553
i-0564c4e163025661e,8.01281968752543,0.004379520641635587
i-061f3d47b6ec6d899,7.784347295761108,0.005495899819115548
i-06c61b81107579b76,9.057281467649672,0.004983582017787267
i-06f3ded19b65d040f,9.047435892952812,0.006785365904647562
i-0734e46ea93248b96,7.780538373523289,0.006609763714295661
i-07371e52fb12110ae,9.051693730884129,0.004382054819606671
i-07aba7fdbc894c5fb,8.01190741856893,0.005893455554922609
i-0859c1efd18620040,7.784157991409302,0.00585697968837002
i-08f094191c88c5263,7.782689942253961,0.006211703073301054
i-0935701764f9af451,7.783589972390069,0.0023553636572118276
i-097c3e46dcf390d8a,7.78373040093316,0.006607292200826152
i-09ed11454ccbcef8f,8.016195350223118,0.004927356836938622
i-0a6946be11150d3cf,9.044726159837511,0.005354382361679968
i-0ab36265851b2f038,9.052307287851969,0.00904949437778827
i-0b218a39a18187a2a,8.014253536860148,0.0040941587484015565
i-0b65af7aa537d3168,8.012504763073391,0.0055364792270059466
i-0b9926ad5c9938919,9.045768552356297,0.008375214513024884
i-0b9ff58588e16d551,9.049697213702732,0.007607869509673541
i-0c1b44f5929053a0c,8.008984830644396,0.0039951599714486575
i-0ca55bbf96a4d4a74,7.787505149841309,0.00607305251379093
i-0dacc3a1a65a223ac,9.050095876057943,0.003162931583252162
i-0e2bba3028e57b933,8.01800266901652,0.0054853929535562986
i-0e8f378870dcbd5d3,9.046001089943779,0.006445154036814616
i-0e9ad9f08cc1486c9,8.014906618330214,0.005563587775177254
i-0ece06eab633a3526,9.149236255221897,0.010892477562325479
i-0f0e24c09425eac71,8.01626475652059,0.0035716465017964004
i-0f83d46715e5b7ba9,7.786031166712443,0.004048425613096856
i-0fe52617ed49f921d,9.05517186058892,0.005868577033915236
i-0ff32a7bce1e3a734,8.010271681679619,0.0032662387213244996
