setId,tenants,wallTime,std,normalized
15,1,15.181538343333335,0.04270822230246752,100.0%
14,2,15.212051628333333,0.04861562514873435,99.8%
13,3,15.556957537777777,0.5214588055455655,97.53%
12,4,15.539068856666665,0.517850188947745,97.64%
11,5,15.538305266666669,0.48734019039337245,97.65%
10,6,15.568175819444443,0.4687583442297231,97.45%
9,7,15.595127094285719,0.44498131234282506,97.28%
8,8,15.651915450833334,0.4314339609687058,96.9%
7,9,15.614025027777778,0.4243395999365936,97.15%
6,10,15.590141510666667,0.4050263162289284,97.31%
5,11,15.671307643939397,0.3959522284743365,96.77%
4,12,15.739892675,0.45021058666710834,96.32%
3,13,15.767242841538465,0.4499955522365516,96.14%
2,14,15.759857649285715,0.4455159988523619,96.19%
1,15,15.790730874000007,0.4309095111109766,95.99%
0,16,16.093747819999997,0.5807374635355216,93.99%
