setId,tenants,transactions,std,normalized
47,1,185525.66666666666,277.8314836971023,100.0%
46,2,182739.33333333334,2596.6339493018,101.5%
45,3,183869.44444444444,2700.5152800489363,100.89%
44,4,183794.0,2225.3170560619014,100.93%
43,5,179218.86666666667,3471.78881160433,103.4%
42,6,177914.44444444444,4026.656213465201,104.1%
41,7,173635.09523809524,6399.124767534704,106.41%
40,8,173138.33333333334,6106.71042639849,106.68%
39,9,170995.0,3180.1092506632394,107.83%
38,10,171114.2,3542.6652386449696,107.77%
37,11,170840.36363636365,3626.039228777905,107.92%
36,12,170444.41666666666,3912.9904046832166,108.13%
35,13,169329.53846153847,4230.671408990568,108.73%
34,14,168268.19047619047,4649.368728396372,109.3%
33,15,166907.64444444445,4980.351672301674,110.04%
32,16,165069.14583333334,5162.74693908229,111.03%
31,17,160725.9019607843,7245.074713914006,113.37%
30,18,158824.85185185185,7531.631979825141,114.39%
29,19,158168.08771929826,5763.676614554973,114.75%
28,20,158338.88333333333,5620.7934571422575,114.65%
27,21,158578.6984126984,5758.8380762288525,114.52%
26,22,158825.54545454544,5326.891849364428,114.39%
25,23,158429.6811594203,4953.587833707749,114.6%
24,24,157972.45833333334,4505.804397202021,114.85%
23,25,157419.66666666666,3723.408494890106,115.15%
22,26,156843.52564102566,3183.888465237792,115.46%
21,27,154554.97530864197,1231.1134185698413,116.69%
20,28,153755.80952380953,1238.6026957747536,117.12%
19,29,152981.2068965517,1769.9598151917876,117.54%
18,30,151986.9111111111,2199.0738481830967,118.08%
17,31,145593.83870967742,7649.013156426188,121.52%
16,32,144578.625,8266.25748863541,122.07%
15,33,143534.48484848486,8983.923842022365,122.63%
14,34,142424.14705882352,9609.299386580258,123.23%
13,35,142042.00952380954,8891.300274269006,123.44%
12,36,141488.2685185185,8102.373114471,123.74%
11,37,136071.86486486485,2727.4608821009138,126.66%
10,38,135453.72807017545,2269.5820841961595,126.99%
9,39,133170.1965811966,3841.56132330045,128.22%
8,40,132259.575,4477.863034492265,128.71%
7,41,131178.86991869917,5209.074586576191,129.29%
6,42,130127.28571428571,5908.196857731998,129.86%
5,43,129609.5503875969,5269.61711720068,130.14%
4,44,129004.85606060606,4501.1437632669085,130.47%
3,45,127079.31851851851,2707.895381618134,131.5%
2,46,125635.67391304347,2196.4564865416096,132.28%
1,47,124609.0,1923.4701824715532,132.83%
0,48,124247.41666666667,1914.1377452242862,133.03%
