instanceID,computationTime,benchmarkTime,wallTime
i-00ae78d83e9b0a706,5.183199999999999,5.423699999999999,5.990411996841431
i-00ff625dd40e36264,5.1987,5.4582999999999995,5.986315178871155
i-0184f3296c5ced0a3,5.2158999999999995,5.4352,5.9737396240234375
i-02318c82e163422e3,5.1577,5.3589,5.793629455566406
i-02839bf5d52dc440a,5.2134,5.4554,5.979306554794311
i-02baf91f487c27cd0,5.3043,5.529600000000001,6.065825080871582
i-02bc03c5959e7d210,5.205200000000001,5.4732,6.0234027862548825
i-02bed2fd844f2949d,5.2065,5.4375,6.010106754302979
i-0362f245e855b6c1e,5.1989,5.450099999999999,6.030387282371521
i-037621e70119f9ab7,5.139899999999999,5.343999999999999,5.849279594421387
i-048437a988cd24bc2,5.1403,5.391800000000002,5.912316060066223
i-0561955e4d5e32bb3,5.1850000000000005,5.4075,5.94337797164917
i-077061659bae3de4f,5.260499999999999,5.5253,6.045092248916626
i-078ea60809fc28e50,5.167,5.3702000000000005,5.9139988899230955
i-07977eaaa9497dbec,4.6356,4.834700000000001,5.328208875656128
i-081386f91917e838e,5.1958,5.472199999999999,5.9224999189376835
i-090f400814f25580f,5.2373,5.4521999999999995,5.914214134216309
i-0b9d71dac855d7716,4.1215,4.3349,4.7837424039840695
i-0e35056fc9158b141,5.185499999999999,5.388499999999999,5.829589557647705
i-0eb7976be5aeffcb4,5.1419,5.3571,5.899036979675293
